step,depth,i
94,16,5.47344e-05
94,17,1.94313e-06
95,14,0.00665352
95,15,0.00116116
95,16,5.71316e-05
95,17,2.07123e-06
96,14,0.00650381
96,15,0.00116957
96,16,5.94994e-05
96,17,2.17269e-06
97,14,0.00634374
97,15,0.00117556
97,16,6.18299e-05
97,17,2.25737e-06
97,18,1e-08
98,14,0.00617451
98,15,0.00117916
98,16,6.41359e-05
98,17,2.39457e-06
98,18,1e-08
99,14,0.00599737
99,15,0.00118038
99,16,6.63408e-05
99,17,2.60412e-06
99,18,1e-08
100,14,0.00581356
100,15,0.00117928
100,16,6.84972e-05
100,17,2.75685e-06
101,14,0.0056243
101,15,0.00117592
101,16,7.05494e-05
101,17,2.96355e-06
102,14,0.0054308
102,15,0.00117039
102,16,7.25714e-05
102,17,3.17356e-06
103,14,0.00523424
103,15,0.00116278
103,16,7.45497e-05
103,17,3.24578e-06
104,14,0.00503572
104,15,0.00115318
104,16,7.64106e-05
104,17,3.38004e-06
105,14,0.00483632
105,15,0.00114172
105,16,7.81704e-05
105,17,3.58703e-06
106,14,0.00463701
106,15,0.00112852
106,16,7.98759e-05
106,17,3.72739e-06
107,14,0.00443872
107,15,0.0011137
107,16,8.14956e-05
107,17,3.95935e-06
108,14,0.0042423
108,15,0.00109739
108,16,8.2998e-05
108,17,4.13817e-06
109,14,0.00404848
109,15,0.00107973
109,16,8.43518e-05
109,17,4.39872e-06
110,14,0.00385796
110,15,0.00106085
110,16,8.56261e-05
110,17,4.69195e-06
111,14,0.00367133
111,15,0.00104089
111,16,8.68212e-05
111,17,4.93262e-06
112,14,0.00348911
112,15,0.00101997
112,16,8.79279e-05
112,17,5.13083e-06
112,18,1e-08
113,14,0.00331174
113,15,0.000998211
113,16,8.89272e-05
113,17,5.34033e-06
113,18,2e-08
114,14,0.00313959
114,15,0.000975746
114,16,8.98503e-05
114,17,5.54104e-06
114,18,2e-08
115,14,0.00297294
115,15,0.000952693
115,16,9.06592e-05
115,17,5.74254e-06
115,18,2e-08
116,14,0.00281204
116,15,0.000929175
116,16,9.13456e-05
116,17,5.97509e-06
117,14,0.00265705
117,15,0.000905273
117,16,9.19818e-05
117,17,6.1789e-06
118,14,0.0025081
118,15,0.000881107
118,16,9.24903e-05
118,17,6.42421e-06
119,14,0.00236525
119,15,0.000856768
119,16,9.29338e-05
119,17,6.64123e-06
120,14,0.00222851
120,15,0.000832339
120,16,9.32951e-05
120,17,6.84963e-06
121,14,0.00209787
121,15,0.000807919
121,16,9.35871e-05
121,17,7.06913e-06
122,14,0.00197327
122,15,0.000783569
122,16,9.37827e-05
122,17,7.30968e-06
123,14,0.00185462
123,15,0.000759353
123,16,9.39152e-05
123,17,7.52457e-06
124,14,0.00174184
124,15,0.00073534
124,16,9.39874e-05
124,17,7.73075e-06
125,14,0.00163476
125,15,0.000711573
125,16,9.39826e-05
125,17,7.95774e-06
