id,parent_id,depth,creation_step,i,r,is_infected
152,116,24,577,7.54312e-07,5.54541e-06,1
153,137,25,579,3.35711e-07,1.64062e-06,1
154,116,24,581,3.3577e-07,2.00236e-06,1
155,119,24,587,4e-08,1.39912e-07,1
156,137,25,597,1.56136e-07,4.44169e-07,1
157,123,24,598,0,1.49824e-08,0
158,138,25,600,3.07442e-07,1.40304e-06,1
159,140,25,601,1.4e-07,4.14747e-07,1
160,139,25,606,0,1.04898e-07,0
161,133,24,608,1.4e-07,3.64883e-07,1
162,138,25,609,0,1.99894e-08,0
163,133,24,613,0,1.49959e-08,0
164,135,25,613,1.29218e-07,2.94901e-07,1
165,123,24,614,0,9.99444e-09,0
166,140,25,614,1e-08,9.9969e-08,1
167,145,25,616,0,3.99742e-08,0
168,119,24,618,0,6.99874e-08,0
169,128,24,618,0,9.99672e-09,0
170,135,25,618,5e-08,9.99718e-08,1
171,128,24,620,0,4.9988e-09,0
172,139,25,620,4e-08,8.99903e-08,1
173,127,24,622,0,1.49988e-08,0
174,145,25,624,3e-08,5e-09,1
