Step,Time,Norm
354,354,0.993298
355,355,0.993294
356,356,0.993289
357,357,0.993285
358,358,0.99328
359,359,0.993276
360,360,0.993271
361,361,0.993267
362,362,0.993262
363,363,0.993258
364,364,0.993254
365,365,0.99325
366,366,0.993246
367,367,0.993242
368,368,0.993238
369,369,0.993234
370,370,0.99323
371,371,0.993227
372,372,0.993224
373,373,0.99322
374,374,0.993217
375,375,0.993214
376,376,0.993211
377,377,0.993209
378,378,0.993206
379,379,0.993203
380,380,0.993201
381,381,0.993198
382,382,0.993196
383,383,0.993193
384,384,0.993191
385,385,0.993188
386,386,0.993186
387,387,0.993183
388,388,0.99318
389,389,0.993178
390,390,0.993175
391,391,0.993172
392,392,0.99317
393,393,0.993167
394,394,0.993164
395,395,0.993161
396,396,0.993158
397,397,0.993156
398,398,0.993153
399,399,0.99315
