Step,Time,Finf
303,303,0.00298278
304,304,0.00299527
305,305,0.00301056
306,306,0.00302809
307,307,0.00304743
308,308,0.00306826
309,309,0.00309035
310,310,0.00311365
311,311,0.00313818
312,312,0.00316411
313,313,0.00319172
314,314,0.00322138
315,315,0.00325354
316,316,0.0032887
317,317,0.00332741
318,318,0.0033702
319,319,0.0034176
320,320,0.00347006
321,321,0.00352797
322,322,0.00359157
323,323,0.00366097
324,324,0.00373612
325,325,0.00381677
326,326,0.00390244
327,327,0.00399247
328,328,0.00408597
329,329,0.00418184
330,330,0.00427882
331,331,0.00437548
332,332,0.00447029
333,333,0.00456167
334,334,0.00464803
335,335,0.00472786
336,336,0.00479978
337,337,0.00486261
338,338,0.00491541
339,339,0.00495757
340,340,0.00498879
341,341,0.00500912
342,342,0.00501896
343,343,0.00501901
344,344,0.00501027
345,345,0.00499396
346,346,0.00497144
347,347,0.00494415
348,348,0.00491354
349,349,0.00488097
350,350,0.00484766
351,351,0.00481464
352,352,0.00478268
353,353,0.0047523
354,354,0.00472374
355,355,0.00469695
356,356,0.00467166
357,357,0.00464739
358,358,0.00462348
359,359,0.00459917
360,360,0.00457368
361,361,0.00454622
362,362,0.0045161
363,363,0.00448272
364,364,0.0044457
365,365,0.00440483
366,366,0.00436013
367,367,0.00431184
368,368,0.00426044
369,369,0.00420658
370,370,0.00415112
371,371,0.00409501
372,372,0.0040393
373,373,0.00398511
374,374,0.0039335
375,375,0.00388553
376,376,0.00384214
377,377,0.00380415
378,378,0.00377222
379,379,0.00374684
380,380,0.00372832
381,381,0.00371678
382,382,0.00371212
383,383,0.00371412
384,384,0.00372236
385,385,0.0037363
386,386,0.00375528
387,387,0.0037786
388,388,0.00380548
389,389,0.00383516
390,390,0.0038669
391,391,0.00390005
392,392,0.00393402
393,393,0.00396837
394,394,0.00400279
395,395,0.00403712
396,396,0.00407137
397,397,0.00410569
398,398,0.00414038
399,399,0.00417585
