id,parent_id,depth,creation_step,i,r,is_infected,edge_len,absolute_x
95,90,33,3029,0,0.000773815,0,1.0227,36.8889
96,90,33,3034,0,9.96271e-05,0,0.514105,36.3803
97,93,34,3139,0,0.0181147,0,1.30708,39.0012
98,93,34,3150,0,0.000297863,0,0.540613,38.2348
99,94,34,3170,0,0.00112887,0,1.1534,38.6893
100,94,34,3172,0,0.000352178,0,0.934194,38.4701
101,97,35,3286,0,0.0416473,0,1.27725,40.2785
102,97,35,3288,0,0.025663,0,1.29311,40.2943
103,101,36,3429,0,0.0397159,0,1.42994,41.7084
104,101,36,3431,0,0.000801863,0,0.534177,40.8127
105,102,36,3448,0,0.000315697,0,0.718844,41.0132
106,102,36,3450,0,0.001525,0,1.07435,41.3687
107,103,37,3546,0,0.00246049,0,0.895738,42.6042
108,103,37,3548,0,0.0595268,0,1.45574,43.1642
109,108,38,3693,0,0.00469642,0,0.719094,43.8833
110,108,38,3699,0,0.0259479,0,1.17649,44.3407
111,110,39,3855,0,0.00619071,0,0.778984,45.1196
112,110,39,3858,0,0.001971,0,0.543708,44.8844
113,109,39,3875,0,0.041216,0,1.44864,45.3319
114,109,39,3881,0,6.3485e-05,0,0.545457,44.4287
115,113,40,4070,0,0.0634169,0,1.37933,46.7112
116,113,40,4071,0,0.0126682,0,1.1821,46.514
117,111,40,4108,0,0.000748876,0,0.980816,46.1005
118,111,40,4109,0,0.00129557,0,1.03519,46.1548
119,115,41,4220,0,0.00131291,0,0.648999,47.3602
120,115,41,4222,0,0.0493928,0,1.31171,48.0229
121,116,41,4246,0,0.000587239,0,0.699943,47.2139
122,116,41,4247,0,0.000532115,0,0.872563,47.3866
123,120,42,4331,0,0.0228731,0,1.04988,49.0728
124,120,42,4341,0,0.00172967,0,0.583346,48.6063
125,123,43,4530,0,0.00827016,0,0.963705,50.0365
126,123,43,4531,3.10991e-06,0.100655,1,1.40596,50.4788
127,126,44,4673,1.79831e-06,0.00238775,1,0.579494,51.0583
128,126,44,4675,0.000118633,0.0136369,1,1.25177,51.7305
129,125,44,4711,3.41797e-06,0.000355082,1,1.21561,51.2521
130,125,44,4717,6e-08,0.000110016,1,0.578887,50.6154
131,128,45,4805,4.72657e-06,0.000115563,1,0.775341,52.5059
132,128,45,4819,0.000265433,0.00373255,1,1.4752,53.2057
133,132,46,4953,1.2105e-06,6.96126e-06,1,1.35317,54.5589
134,132,46,4954,1.80614e-06,1.12567e-05,1,1.35859,54.5643
