step,depth,i
148,12,0.000665656
148,13,0.000126034
148,14,2e-08
149,12,0.000667924
149,13,0.00013084
149,14,3e-08
150,12,0.00067003
150,13,0.000135837
150,14,5e-08
151,12,0.000672012
151,13,0.000140979
151,14,7e-08
152,12,0.000673878
152,13,0.00014628
152,14,8e-08
153,12,0.000675594
153,13,0.000151754
153,14,7e-08
154,12,0.000677159
154,13,0.000157426
154,14,6e-08
155,12,0.00067857
155,13,0.00016328
155,14,8e-08
156,12,0.000679894
156,13,0.00016926
156,14,1e-07
157,12,0.000681051
157,13,0.000175439
157,14,1.26442e-07
158,12,0.000682038
158,13,0.000181842
158,14,1.43921e-07
159,12,0.000682892
159,13,0.000188414
159,14,1.81855e-07
160,12,0.000683582
160,13,0.000195208
160,14,1.91548e-07
161,12,0.000684136
161,13,0.0002022
161,14,2.02464e-07
162,12,0.000684512
162,13,0.000209423
162,14,1.94038e-07
163,12,0.000684708
163,13,0.000216872
163,14,2.16306e-07
164,12,0.000684724
164,13,0.000224572
164,14,2.29307e-07
165,12,0.000684606
165,13,0.000232457
165,14,2.43082e-07
166,12,0.000684336
166,13,0.000240572
166,14,2.58299e-07
167,12,0.00068388
167,13,0.00024894
167,14,2.74414e-07
168,12,0.000683268
168,13,0.000257526
168,14,3.01476e-07
169,12,0.000682478
169,13,0.000266353
169,14,3.49535e-07
170,12,0.000681541
170,13,0.000275416
170,14,3.78646e-07
171,12,0.000680434
171,13,0.000284707
171,14,4.0948e-07
172,12,0.000679148
172,13,0.00029428
172,14,4.22742e-07
173,12,0.000677692
173,13,0.00030411
173,14,4.57339e-07
174,12,0.000676055
174,13,0.000314211
174,14,4.93341e-07
175,12,0.000674277
175,13,0.000324534
175,14,5.40822e-07
176,12,0.000672338
176,13,0.000335123
176,14,5.69858e-07
177,12,0.000670188
177,13,0.000346021
177,14,6.20528e-07
178,12,0.000667857
178,13,0.000357182
178,14,6.72915e-07
179,12,0.000665376
179,13,0.000368607
179,14,7.47703e-07
180,12,0.000662764
180,13,0.00038028
180,14,8.01772e-07
181,12,0.000659961
181,13,0.000392231
181,14,8.78838e-07
182,12,0.00065698
182,13,0.000404483
182,14,9.50199e-07
183,12,0.000653849
183,13,0.000416988
183,14,1.03551e-06
184,12,0.000650511
184,13,0.000429837
184,14,1.10551e-06
185,12,0.000647016
185,13,0.000442952
185,14,1.18926e-06
186,12,0.000643366
186,13,0.000456343
186,14,1.27752e-06
187,12,0.000639541
187,13,0.000470011
187,14,1.39053e-06
188,12,0.000635584
188,13,0.000483956
188,14,1.48954e-06
189,12,0.000631435
189,13,0.000498207
189,14,1.60374e-06
190,12,0.000627137
190,13,0.000512745
190,14,1.71393e-06
191,12,0.000622682
191,13,0.000527557
191,14,1.83988e-06
192,12,0.000618081
192,13,0.000542642
192,14,1.97236e-06
193,12,0.000613316
193,13,0.000558009
193,14,2.12167e-06
194,12,0.000608411
194,13,0.000573685
194,14,2.23864e-06
195,12,0.000603347
195,13,0.000589617
195,14,2.39143e-06
196,12,0.000598137
196,13,0.000605822
196,14,2.55194e-06
197,12,0.000592773
197,13,0.000622296
197,14,2.73045e-06
198,12,0.000587289
198,13,0.000639005
198,14,2.92782e-06
199,12,0.000581658
199,13,0.000656002
199,14,3.11503e-06
200,12,0.000575892
200,13,0.000673284
200,14,3.28133e-06
201,12,0.000569996
201,13,0.000690814
201,14,3.45552e-06
202,12,0.000563962
202,13,0.000708567
202,14,3.66792e-06
203,12,0.000557823
203,13,0.000726524
203,14,3.90038e-06
204,12,0.000551555
204,13,0.000744716
204,14,4.14374e-06
205,12,0.000545169
205,13,0.000763116
205,14,4.40846e-06
206,12,0.000538701
206,13,0.000781723
206,14,4.6555e-06
207,12,0.000532104
207,13,0.000800529
207,14,4.93372e-06
208,12,0.000525422
208,13,0.000819502
208,14,5.2246e-06
209,12,0.000518619
209,13,0.00083867
209,14,5.52853e-06
210,12,0.000511701
210,13,0.000857992
210,14,5.87598e-06
211,12,0.00050472
211,13,0.000877465
211,14,6.20886e-06
212,12,0.000497633
212,13,0.000897076
212,14,6.5762e-06
213,12,0.000490473
213,13,0.00091683
213,14,6.92938e-06
214,12,0.000483236
214,13,0.000936663
214,14,7.32754e-06
215,12,0.000475916
215,13,0.00095661
215,14,7.73258e-06
216,12,0.000468538
216,13,0.000976614
216,14,8.16451e-06
217,12,0.000461097
217,13,0.000996687
217,14,8.60428e-06
218,12,0.000453588
218,13,0.0010168
218,14,9.07198e-06
219,12,0.000446046
219,13,0.00103694
219,14,9.52811e-06
220,12,0.000438447
220,13,0.00105707
220,14,1.00427e-05
221,12,0.000430796
221,13,0.00107717
221,14,1.05971e-05
222,12,0.000423137
222,13,0.00109723
222,14,1.11626e-05
223,12,0.000415416
223,13,0.00111727
223,14,1.1729e-05
224,12,0.000407679
224,13,0.00113725
224,14,1.22973e-05
225,12,0.000399931
225,13,0.00115711
225,14,1.29264e-05
226,12,0.000392148
226,13,0.00117684
226,14,1.35873e-05
227,12,0.000384344
227,13,0.00119645
227,14,1.42514e-05
228,12,0.000376555
228,13,0.00121587
228,14,1.4929e-05
229,12,0.000368767
229,13,0.00123511
229,14,1.56802e-05
230,12,0.000360995
230,13,0.00125416
230,14,1.63998e-05
231,12,0.000353214
231,13,0.00127295
231,14,1.71826e-05
232,12,0.000345449
232,13,0.00129151
232,14,1.79908e-05
233,12,0.000337716
233,13,0.00130973
233,14,1.88339e-05
234,12,0.000330001
234,13,0.00132769
234,14,1.96566e-05
235,12,0.000322337
235,13,0.00134529
235,14,2.05151e-05
236,12,0.00031471
236,13,0.00136253
236,14,2.13998e-05
237,12,0.000307116
237,13,0.00137938
237,14,2.23309e-05
238,12,0.000299558
238,13,0.00139586
238,14,2.32696e-05
239,12,0.000292052
239,13,0.00141192
239,14,2.4215e-05
240,12,0.000284614
240,13,0.00142751
240,14,2.51969e-05
241,12,0.000277236
241,13,0.00144258
241,14,2.62457e-05
242,12,0.000269924
242,13,0.00145717
242,14,2.7303e-05
243,12,0.000262702
243,13,0.00147122
243,14,2.83883e-05
244,12,0.000255534
244,13,0.00148476
244,14,2.94815e-05
245,12,0.000248444
245,13,0.00149769
245,14,3.0642e-05
246,12,0.000241456
246,13,0.00150999
246,14,3.18611e-05
247,12,0.000234544
247,13,0.00152174
247,14,3.30599e-05
248,12,0.000227711
248,13,0.00153285
248,14,3.43065e-05
249,12,0.000220982
249,13,0.00154331
249,14,3.55813e-05
250,12,0.000214348
250,13,0.00155314
250,14,3.68543e-05
251,12,0.000207814
251,13,0.00156224
251,14,3.82041e-05
252,12,0.000201392
252,13,0.00157068
252,14,3.9542e-05
253,12,0.000195054
253,13,0.00157839
253,14,4.09464e-05
254,12,0.000188835
254,13,0.00158538
254,14,4.23684e-05
255,12,0.000182715
255,13,0.00159166
255,14,4.3807e-05
256,12,0.000176717
256,13,0.00159717
256,14,4.52916e-05
257,12,0.000170833
257,13,0.00160197
257,14,4.67521e-05
258,12,0.000165075
258,13,0.001606
258,14,4.82466e-05
259,12,0.000159424
259,13,0.0016093
259,14,4.97447e-05
260,12,0.000153882
260,13,0.00161184
260,14,5.12551e-05
261,12,0.00014847
261,13,0.00161357
261,14,5.28171e-05
262,12,0.000143179
262,13,0.00161457
262,14,5.43605e-05
263,12,0.000138019
263,13,0.00161473
263,14,5.59737e-05
264,12,0.000132972
264,13,0.0016141
264,14,5.76271e-05
265,12,0.000128057
265,13,0.0016127
265,14,5.92903e-05
266,12,0.000123255
266,13,0.00161056
266,14,6.09523e-05
267,12,0.000118576
267,13,0.00160766
267,14,6.26215e-05
268,12,0.00011403
268,13,0.00160397
268,14,6.43269e-05
269,12,0.000109597
269,13,0.00159954
269,14,6.60479e-05
270,12,0.000105296
270,13,0.00159434
270,14,6.78036e-05
271,12,0.000101115
271,13,0.00158843
271,14,6.95333e-05
271,15,1e-08
272,12,9.7046e-05
272,13,0.0015818
272,14,7.13051e-05
272,15,3e-08
273,12,9.30965e-05
273,13,0.00157446
273,14,7.30786e-05
273,15,2e-08
274,12,8.9276e-05
274,13,0.00156642
274,14,7.48425e-05
274,15,2e-08
275,12,8.55729e-05
275,13,0.00155771
275,14,7.66252e-05
275,15,2e-08
276,12,8.19858e-05
276,13,0.00154833
276,14,7.84057e-05
276,15,5e-08
277,12,7.85135e-05
277,13,0.00153827
277,14,8.02228e-05
277,15,8e-08
278,12,7.51543e-05
278,13,0.00152763
278,14,8.20059e-05
278,15,9e-08
279,12,7.19065e-05
279,13,0.00151637
279,14,8.38031e-05
279,15,1e-07
280,12,6.87585e-05
280,13,0.00150451
280,14,8.56034e-05
280,15,1.15685e-07
281,12,6.57289e-05
281,13,0.00149207
281,14,8.74257e-05
281,15,1.41654e-07
282,12,6.27953e-05
282,13,0.00147908
282,14,8.92391e-05
282,15,1.47918e-07
283,12,5.99761e-05
283,13,0.00146558
283,14,9.10323e-05
283,15,1.65048e-07
284,12,5.72589e-05
284,13,0.00145156
284,14,9.28338e-05
284,15,1.8308e-07
285,12,5.46315e-05
285,13,0.00143706
285,14,9.46428e-05
285,15,2.115e-07
286,12,5.21022e-05
286,13,0.00142209
286,14,9.64481e-05
286,15,2.30326e-07
287,12,4.96787e-05
287,13,0.0014067
287,14,9.82187e-05
287,15,2.69574e-07
288,12,4.73484e-05
288,13,0.00139087
288,14,0.000100003
288,15,2.69261e-07
289,12,4.51089e-05
289,13,0.00137467
289,14,0.00010176
289,15,2.89941e-07
290,12,4.2958e-05
290,13,0.00135809
290,14,0.000103529
290,15,3.21653e-07
291,12,4.08932e-05
291,13,0.00134117
291,14,0.000105289
291,15,3.03911e-07
292,12,3.89123e-05
292,13,0.00132388
292,14,0.000107069
292,15,3.36735e-07
293,12,3.70128e-05
293,13,0.00130633
293,14,0.000108818
293,15,3.50671e-07
294,12,3.51925e-05
294,13,0.00128855
294,14,0.000110515
294,15,4.15242e-07
295,12,3.34489e-05
295,13,0.00127047
295,14,0.000112239
295,15,4.36133e-07
296,12,3.17797e-05
296,13,0.00125216
296,14,0.000113959
296,15,4.57937e-07
297,12,3.01826e-05
297,13,0.0012337
297,14,0.000115614
297,15,4.80687e-07
298,12,2.86552e-05
298,13,0.00121505
298,14,0.000117254
298,15,5.1442e-07
299,12,2.71952e-05
299,13,0.00119624
299,14,0.000118876
299,15,5.39674e-07
300,12,2.58004e-05
300,13,0.00117728
300,14,0.0001205
300,15,5.66006e-07
301,12,2.44686e-05
301,13,0.0011582
301,14,0.000122117
301,15,5.93455e-07
302,12,2.31974e-05
302,13,0.00113905
302,14,0.000123674
302,15,6.32063e-07
303,12,2.19847e-05
303,13,0.0011198
303,14,0.000125242
303,15,6.72363e-07
304,12,2.08284e-05
304,13,0.0011005
304,14,0.00012679
304,15,7.14371e-07
305,12,1.97264e-05
305,13,0.00108117
305,14,0.000128316
305,15,7.48149e-07
306,12,1.86765e-05
306,13,0.00106182
306,14,0.000129821
306,15,7.93318e-07
307,12,1.76768e-05
307,13,0.0010425
307,14,0.000131274
307,15,8.40365e-07
308,12,1.67253e-05
308,13,0.00102317
308,14,0.000132745
308,15,8.89354e-07
309,12,1.58201e-05
309,13,0.00100391
309,14,0.000134152
309,15,9.40397e-07
310,12,1.49593e-05
310,13,0.000984692
310,14,0.000135545
310,15,9.93522e-07
311,12,1.41411e-05
311,13,0.000965537
311,14,0.000136935
311,15,1.03885e-06
312,12,1.33636e-05
312,13,0.000946478
312,14,0.000138279
312,15,1.09598e-06
313,12,1.26252e-05
313,13,0.000927518
313,14,0.00013961
313,15,1.14545e-06
314,12,1.19241e-05
314,13,0.000908661
314,14,0.000140925
314,15,1.19688e-06
315,12,1.12588e-05
315,13,0.00088994
315,14,0.000142194
315,15,1.26034e-06
316,12,1.06277e-05
316,13,0.000871337
316,14,0.000143468
316,15,1.31635e-06
317,12,1.00291e-05
317,13,0.000852875
317,14,0.000144716
317,15,1.38455e-06
318,12,9.4618e-06
318,13,0.000834594
318,14,0.000145918
318,15,1.45547e-06
319,12,8.9242e-06
319,13,0.000816514
319,14,0.000147064
319,15,1.5292e-06
320,12,8.41495e-06
320,13,0.000798585
320,14,0.000148223
320,15,1.5958e-06
321,12,7.93275e-06
321,13,0.000780835
321,14,0.000149366
321,15,1.66496e-06
322,12,7.4763e-06
322,13,0.000763335
322,14,0.000150422
322,15,1.74676e-06
323,12,7.04439e-06
323,13,0.000746039
323,14,0.000151451
323,15,1.83171e-06
324,12,6.63583e-06
324,13,0.000728956
324,14,0.000152463
324,15,1.90995e-06
325,12,6.24948e-06
325,13,0.000712072
325,14,0.000153458
325,15,2.00115e-06
326,12,5.88425e-06
326,13,0.000695404
326,14,0.000154445
326,15,2.08581e-06
327,12,5.53911e-06
327,13,0.000678986
327,14,0.000155376
327,15,2.18365e-06
328,12,5.21304e-06
328,13,0.000662785
328,14,0.0001563
328,15,2.28517e-06
329,12,4.90508e-06
329,13,0.000646844
329,14,0.000157188
329,15,2.3805e-06
330,12,4.61432e-06
330,13,0.000631146
330,14,0.000158038
330,15,2.48938e-06
331,12,4.33987e-06
331,13,0.000615676
331,14,0.000158882
331,15,2.60235e-06
332,12,4.0809e-06
332,13,0.000600477
332,14,0.000159689
332,15,2.70952e-06
333,12,3.8366e-06
333,13,0.000585511
333,14,0.00016049
333,15,2.82064e-06
334,12,3.6062e-06
334,13,0.00057083
334,14,0.000161224
334,15,2.94584e-06
335,12,3.38896e-06
335,13,0.000556375
335,14,0.000161972
335,15,3.06565e-06
336,12,3.1842e-06
336,13,0.000542179
336,14,0.000162684
336,15,3.19983e-06
337,12,2.99124e-06
337,13,0.000528251
337,14,0.000163371
337,15,3.32896e-06
338,12,2.80946e-06
338,13,0.000514594
338,14,0.000164022
338,15,3.46279e-06
339,12,2.63824e-06
339,13,0.000501185
339,14,0.000164647
339,15,3.61147e-06
340,12,2.47701e-06
340,13,0.000488036
340,14,0.000165247
340,15,3.76554e-06
341,12,2.32522e-06
341,13,0.000475146
341,14,0.000165822
341,15,3.92517e-06
342,12,2.18236e-06
342,13,0.000462514
342,14,0.000166382
342,15,4.08056e-06
343,12,2.04793e-06
343,13,0.000450149
343,14,0.000166898
343,15,4.25151e-06
344,12,1.92146e-06
344,13,0.000438031
344,14,0.000167399
344,15,4.42864e-06
345,12,1.80251e-06
345,13,0.000426166
345,14,0.000167876
345,15,4.6121e-06
346,12,1.69065e-06
346,13,0.000414575
346,14,0.00016832
346,15,4.79215e-06
347,12,1.58549e-06
347,13,0.000403234
347,14,0.000168729
347,15,4.9886e-06
348,12,1.48663e-06
348,13,0.000392121
348,14,0.000169145
348,15,5.18203e-06
349,12,1.39373e-06
349,13,0.000381255
349,14,0.000169529
349,15,5.3923e-06
350,12,1.30644e-06
350,13,0.000370653
350,14,0.000169869
350,15,5.61e-06
351,12,1.22444e-06
351,13,0.000360282
351,14,0.000170197
351,15,5.83542e-06
352,12,1.14742e-06
352,13,0.000350159
352,14,0.000170502
352,15,6.05877e-06
353,12,1.07509e-06
353,13,0.000340261
353,14,0.000170796
353,15,6.28996e-06
354,12,1.00718e-06
354,13,0.000330596
354,14,0.000171068
354,15,6.52925e-06
355,12,9.43437e-07
355,13,0.000321181
355,14,0.000171288
355,15,6.78691e-06
356,12,8.83607e-07
356,13,0.000311981
356,14,0.000171498
356,15,7.0536e-06
357,12,8.27464e-07
357,13,0.000303004
357,14,0.000171686
357,15,7.32963e-06
358,12,7.74788e-07
358,13,0.000294226
358,14,0.000171884
358,15,7.60525e-06
359,12,7.25373e-07
359,13,0.000285684
359,14,0.000172042
359,15,7.89043e-06
360,12,6.79026e-07
360,13,0.000277365
360,14,0.00017217
360,15,8.18549e-06
361,12,6.35562e-07
361,13,0.000269235
361,14,0.000172298
361,15,8.49076e-06
362,12,5.94808e-07
362,13,0.00026131
362,14,0.000172396
362,15,8.81656e-06
363,12,5.56602e-07
363,13,0.000253588
363,14,0.000172486
363,15,9.14363e-06
364,12,5.20789e-07
364,13,0.000246084
364,14,0.000172537
364,15,9.48195e-06
365,12,4.87225e-07
365,13,0.000238763
365,14,0.000172569
365,15,9.84188e-06
366,12,4.55773e-07
366,13,0.000231634
366,14,0.000172583
366,15,1.02142e-05
367,12,4.26303e-07
367,13,0.000224692
367,14,0.000172578
367,15,1.05992e-05
368,12,3.98696e-07
368,13,0.000217944
368,14,0.000172556
368,15,1.09875e-05
369,12,3.72837e-07
369,13,0.000211375
369,14,0.000172517
369,15,1.13889e-05
370,12,3.48617e-07
370,13,0.000204961
370,14,0.00017248
370,15,1.18041e-05
371,12,3.25938e-07
371,13,0.000198731
371,14,0.000172407
371,15,1.22433e-05
372,12,3.04702e-07
372,13,0.00019268
372,14,0.000172317
372,15,1.26875e-05
373,12,2.84821e-07
373,13,0.000186793
373,14,0.00017221
373,15,1.31467e-05
374,12,2.66211e-07
374,13,0.000181058
374,14,0.000172097
374,15,1.36214e-05
375,12,2.48792e-07
375,13,0.000175491
375,14,0.000171959
375,15,1.41121e-05
376,12,2.32491e-07
376,13,0.000170079
376,14,0.000171795
376,15,1.46294e-05
377,12,2.17237e-07
377,13,0.000164807
377,14,0.000171635
377,15,1.51541e-05
378,12,2.02965e-07
378,13,0.000159673
378,14,0.00017146
378,15,1.57064e-05
379,12,1.89613e-07
379,13,0.000154694
379,14,0.000171261
379,15,1.62772e-05
380,12,1.77123e-07
380,13,0.000149856
380,14,0.000171047
380,15,1.68672e-05
381,12,1.6544e-07
381,13,0.000145165
381,14,0.000170808
381,15,1.74768e-05
382,12,1.54515e-07
382,13,0.000140598
382,14,0.000170575
382,15,1.80968e-05
383,12,1.44298e-07
383,13,0.000136163
383,14,0.000170319
383,15,1.87474e-05
384,12,1.34745e-07
384,13,0.000131855
384,14,0.000170058
384,15,1.94097e-05
385,12,1.25814e-07
385,13,0.000127672
385,14,0.000169774
385,15,2.0104e-05
386,12,1.17464e-07
386,13,0.000123621
386,14,0.000169467
386,15,2.08214e-05
387,12,1.0966e-07
387,13,0.000119678
387,14,0.000169167
387,15,2.15524e-05
388,12,1.02366e-07
388,13,0.00011586
388,14,0.000168844
388,15,2.23076e-05
389,12,1e-07
389,13,0.000112155
389,14,0.000168509
389,15,2.30878e-05
390,12,1e-07
390,13,0.00010856
390,14,0.000168151
390,15,2.39036e-05
391,12,1.2e-07
391,13,0.00010507
391,14,0.000167791
391,15,2.47363e-05
392,12,1.11981e-07
392,13,0.000101685
392,14,0.000167419
392,15,2.55963e-05
393,12,1.0449e-07
393,13,9.83912e-05
393,14,0.000167045
393,15,2.64845e-05
394,12,1.2e-07
394,13,9.52059e-05
394,14,0.000166639
394,15,2.74118e-05
395,12,1.11955e-07
395,13,9.21064e-05
395,14,0.000166242
395,15,2.83594e-05
396,12,1.04442e-07
396,13,8.91005e-05
396,14,0.000165824
396,15,2.9348e-05
397,12,1.1e-07
397,13,8.61956e-05
397,14,0.000165385
397,15,3.03687e-05
398,12,1.02602e-07
398,13,8.3379e-05
398,14,0.000164945
398,15,3.14127e-05
399,12,4e-08
399,13,8.06382e-05
399,14,0.000164494
399,15,3.25005e-05
400,12,2e-08
400,13,7.79812e-05
400,14,0.000164033
400,15,3.36236e-05
401,12,3e-08
401,13,7.54058e-05
401,14,0.000163561
401,15,3.4783e-05
402,12,3e-08
402,13,7.29096e-05
402,14,0.000163079
402,15,3.59798e-05
403,12,2e-08
403,13,7.05004e-05
403,14,0.000162578
403,15,3.72152e-05
404,13,6.81557e-05
