step,total_i
388,0.00358393
389,0.00366353
390,0.00374237
391,0.00382011
392,0.00389645
393,0.00397136
394,0.00404445
395,0.00411557
396,0.00418454
397,0.00425103
398,0.00431484
399,0.00437567
400,0.0044334
401,0.00448789
402,0.00453865
403,0.00458555
404,0.0046287
405,0.00466764
406,0.00470241
407,0.00473268
408,0.00475835
409,0.00477944
410,0.00479585
411,0.00480743
412,0.00481429
413,0.00481626
414,0.00481344
415,0.00480574
416,0.0047933
417,0.00477602
418,0.00475406
419,0.00472757
420,0.00469676
421,0.00466169
422,0.0046224
423,0.00457916
424,0.00453214
425,0.00448152
426,0.00442746
427,0.00437029
428,0.00431015
429,0.00424733
430,0.00418195
431,0.0041143
432,0.00404453
433,0.00397294
434,0.00389965
435,0.00382521
436,0.00374949
437,0.00367283
438,0.00359546
439,0.00351753
440,0.00343921
441,0.00336073
442,0.00328221
443,0.00320385
444,0.00312586
445,0.00304829
446,0.00297127
447,0.00289497
448,0.0028195
449,0.00274506
450,0.00267146
451,0.002599
452,0.00252773
453,0.00245767
454,0.00238898
455,0.00232164
456,0.00225561
457,0.00219115
458,0.00212816
459,0.00206657
460,0.00200659
461,0.00194805
462,0.00189102
463,0.00183546
464,0.00178147
465,0.00172892
466,0.00167776
467,0.0016282
468,0.00158022
469,0.00153358
470,0.00148839
471,0.00144467
472,0.00140222
473,0.00136129
474,0.00132158
475,0.00128323
476,0.00124611
477,0.0012104
478,0.00117586
479,0.00114251
480,0.00111021
481,0.00107905
482,0.00104889
483,0.00101988
484,0.000991942
485,0.000964972
486,0.000938941
487,0.00091392
488,0.000889821
489,0.000866508
490,0.0008442
491,0.000822539
492,0.00080173
493,0.000781693
494,0.000762469
495,0.000743961
496,0.000726163
497,0.000708951
498,0.000692449
499,0.000676626
500,0.000661342
501,0.000646629
502,0.000632426
503,0.000618936
504,0.000605912
505,0.000593302
506,0.000581279
507,0.000569728
508,0.000558576
509,0.000547777
510,0.000537555
511,0.000527757
512,0.000518391
513,0.000509411
514,0.000500797
515,0.000492361
516,0.000484461
517,0.00047689
518,0.000469634
519,0.000462663
520,0.000455959
521,0.000449467
522,0.000443362
523,0.000437481
524,0.000431977
525,0.000426705
526,0.000421604
527,0.000416801
528,0.000412252
529,0.000407935
530,0.000403877
531,0.000399981
532,0.000396182
533,0.000392699
534,0.000389287
535,0.00038631
536,0.000383461
537,0.000380682
538,0.000378143
539,0.000375766
540,0.000373537
541,0.000371544
542,0.000369656
543,0.000367967
544,0.00036641
545,0.000365057
546,0.000363899
547,0.000362882
548,0.000361925
549,0.000361067
550,0.000360532
551,0.000360071
552,0.000359779
553,0.000359557
554,0.000359556
555,0.000359738
556,0.000359988
557,0.000360309
558,0.000360784
559,0.000361358
560,0.000362055
561,0.000362876
562,0.00036388
563,0.000365083
564,0.000366345
565,0.000367724
566,0.000369282
567,0.000371017
568,0.000372717
569,0.000374727
570,0.000376857
571,0.000379146
572,0.000381392
573,0.000383854
574,0.000386394
575,0.000389062
576,0.00039185
577,0.000394797
578,0.000397914
579,0.000401143
580,0.000404576
581,0.000408219
582,0.00041198
583,0.000415875
584,0.000419908
585,0.000423977
586,0.000428322
587,0.000432812
588,0.000437532
589,0.000442476
590,0.000447494
591,0.000452724
592,0.000458121
593,0.000463698
594,0.000469459
595,0.000475299
596,0.000481362
597,0.000487677
598,0.000494106
599,0.000500786
600,0.000507667
601,0.000514669
602,0.000521977
603,0.000529485
604,0.000537217
605,0.000545063
606,0.000553165
607,0.000561736
608,0.000570376
609,0.000579244
610,0.000588369
611,0.000597832
612,0.000607463
613,0.000617415
614,0.000627569
615,0.000637942
616,0.000648706
617,0.000659787
618,0.00067101
619,0.000682598
620,0.000694504
621,0.000706601
622,0.000719022
623,0.000731861
624,0.000744938
625,0.000758391
626,0.000772144
627,0.000786236
628,0.000800694
629,0.00081551
630,0.000830756
631,0.000846264
632,0.000862101
633,0.000878395
634,0.000894979
635,0.000911867
636,0.000929221
637,0.000946893
638,0.00096488
639,0.000983354
640,0.00100215
641,0.00102139
642,0.00104093
643,0.00106097
644,0.00108138
645,0.00110219
646,0.00112336
647,0.00114481
648,0.00116678
649,0.00118908
650,0.00121179
651,0.00123489
652,0.00125842
653,0.00128231
654,0.0013064
655,0.00133104
656,0.00135599
657,0.00138128
658,0.00140695
659,0.00143285
660,0.00145918
661,0.0014857
662,0.00151252
663,0.00153968
664,0.00156711
665,0.00159482
666,0.00162287
667,0.00165105
668,0.00167953
669,0.00170795
670,0.00173678
671,0.00176574
672,0.00179478
673,0.00182392
674,0.0018531
675,0.0018824
676,0.0019117
677,0.00194091
678,0.00197018
679,0.00199937
680,0.00202837
681,0.00205733
682,0.00208621
683,0.00211486
684,0.00214318
685,0.00217139
686,0.00219933
687,0.00222669
688,0.00225392
689,0.0022808
690,0.00230705
691,0.00233292
692,0.00235805
693,0.00238288
694,0.00240697
695,0.00243034
696,0.00245313
697,0.0024753
698,0.00249662
699,0.00251729
700,0.00253721
701,0.00255624
702,0.00257435
703,0.00259172
704,0.00260827
705,0.00262373
706,0.00263812
707,0.00265157
708,0.00266387
709,0.00267529
710,0.00268563
711,0.00269487
712,0.00270298
713,0.00271
714,0.00271584
715,0.00272069
716,0.00272451
717,0.00272714
718,0.00272863
719,0.00272886
720,0.00272813
721,0.00272615
722,0.00272304
723,0.00271892
724,0.0027138
725,0.00270755
726,0.00270041
727,0.00269208
728,0.00268282
729,0.00267259
730,0.00266136
731,0.0026493
732,0.00263629
733,0.0026225
734,0.00260772
735,0.00259218
736,0.00257605
737,0.00255908
738,0.00254146
739,0.00252318
740,0.00250422
741,0.00248468
742,0.0024646
743,0.00244406
744,0.00242299
745,0.00240164
746,0.00237971
747,0.00235736
748,0.00233484
749,0.00231211
750,0.00228881
751,0.00226545
752,0.00224182
753,0.00221807
754,0.00219416
755,0.00217026
756,0.00214599
757,0.00212187
758,0.00209775
759,0.00207362
760,0.00204955
761,0.00202549
762,0.00200163
763,0.00197784
764,0.0019542
765,0.0019306
766,0.00190724
767,0.00188407
768,0.00186109
769,0.00183834
770,0.00181576
771,0.00179352
772,0.00177152
773,0.00174972
774,0.00172831
775,0.00170709
776,0.00168626
777,0.00166592
778,0.00164567
779,0.00162594
780,0.00160646
781,0.00158726
782,0.00156839
783,0.00154977
784,0.00153171
785,0.00151395
786,0.0014965
787,0.00147962
788,0.00146304
789,0.00144685
790,0.00143097
791,0.00141547
792,0.00140036
793,0.00138578
794,0.00137144
795,0.00135748
796,0.00134381
797,0.00133058
798,0.00131753
799,0.00130501
800,0.0012928
801,0.00128093
802,0.00126931
803,0.00125821
804,0.00124745
805,0.00123713
806,0.00122702
807,0.00121718
808,0.0012079
809,0.00119886
810,0.00119017
811,0.00118192
812,0.00117404
813,0.0011664
814,0.00115911
815,0.00115206
816,0.00114544
817,0.00113907
818,0.00113293
819,0.00112703
820,0.00112153
821,0.00111637
822,0.00111158
823,0.00110694
824,0.00110271
825,0.00109876
826,0.00109497
827,0.00109149
828,0.00108827
829,0.00108547
830,0.00108285
831,0.0010806
832,0.00107849
833,0.00107652
834,0.00107486
835,0.00107343
836,0.00107215
837,0.00107126
838,0.00107068
839,0.00107019
840,0.00106998
841,0.00106989
842,0.00107033
843,0.00107084
844,0.00107161
845,0.00107257
846,0.0010738
847,0.00107517
848,0.00107668
849,0.00107851
850,0.0010805
851,0.00108254
852,0.00108497
853,0.00108753
854,0.00109006
855,0.00109298
856,0.00109605
857,0.0010993
858,0.00110293
859,0.00110646
860,0.00111038
861,0.00111435
862,0.00111839
863,0.0011226
864,0.00112698
865,0.00113147
866,0.00113602
867,0.00114087
868,0.00114603
869,0.00115128
870,0.00115638
871,0.00116181
872,0.00116749
873,0.00117322
874,0.0011792
875,0.0011851
876,0.00119091
877,0.00119715
878,0.00120339
879,0.00120985
880,0.00121628
881,0.00122309
882,0.0012297
883,0.0012364
884,0.00124335
885,0.00125033
886,0.00125727
887,0.00126445
888,0.00127166
889,0.00127895
890,0.00128608
891,0.00129351
892,0.00130109
893,0.00130878
894,0.00131643
895,0.00132419
896,0.0013319
897,0.00133977
898,0.00134762
899,0.00135549
900,0.00136329
901,0.00137111
902,0.00137916
903,0.00138732
904,0.00139538
905,0.00140354
906,0.00141174
907,0.00141995
908,0.00142816
909,0.00143645
910,0.00144483
911,0.00145303
912,0.00146123
913,0.00146952
914,0.0014778
915,0.00148617
916,0.00149462
917,0.00150294
918,0.00151133
919,0.00151949
920,0.0015277
921,0.00153614
922,0.00154455
