id,parent_id,depth,creation_step,i,r,is_infected,edge_len,absolute_x
0,-1,0,0,0,0.488788,0,0,0
1,0,1,0,0,0,0,1,1
2,1,2,0,0,0,0,1,2
3,2,3,0,0,0,0,1,3
4,3,4,0,0,0,0,1,4
5,4,5,0,0,0,0,1,5
6,5,6,0,0,0,0,1,6
7,6,7,0,0,0,0,1,7
8,7,8,0,0,0,0,1,8
9,8,9,0,0,0,0,1,9
10,9,10,0,0,0,0,1,10
11,10,11,0,0,0,0,1,11
12,11,12,0,0,0.0418436,0,1,12
13,12,13,3,0,0.0023846,0,0.736089,12.7361
14,12,13,8,0,0.0778351,0,1.36502,13.365
15,14,14,131,0,0.00281671,0,0.924555,14.2896
16,14,14,134,0,0.012187,0,1.04285,14.4079
17,13,14,217,0,0.000106709,0,1.27688,14.013
18,13,14,219,0,3.37242e-05,0,1.06264,13.7987
19,16,15,270,0,0.0688466,0,1.37371,15.7816
20,16,15,279,0,0.0101751,0,1.19561,15.6035
21,19,16,424,0,0.067569,0,1.47373,17.2553
22,19,16,428,0,0.00331734,0,0.787762,16.5693
23,20,16,463,0,0.00236975,0,1.39323,16.9967
24,20,16,465,0,4.11036e-05,0,0.833062,16.4365
25,21,17,525,0,0.0169756,0,1.10114,18.3565
26,21,17,527,0,0.0227426,0,1.3203,18.5756
27,22,17,566,0,0.000242623,0,1.34205,17.9114
28,22,17,573,0,4.025e-07,0,0.740385,17.3097
29,25,18,629,0,0.0762316,0,1.43951,19.796
30,26,18,644,0,0.00227914,0,0.783055,19.3587
31,25,18,649,0,0.000867398,0,0.891887,19.2483
32,26,18,655,0,0.000794166,0,0.69564,19.2712
33,29,19,761,5.7689e-06,0.025564,1,1.11769,20.9137
34,29,19,763,1.32966e-07,0.00346189,1,0.82854,20.6245
35,33,20,917,0.000488239,0.0407553,1,1.20864,22.1223
36,33,20,923,0.000403619,0.0236096,1,1.27869,22.1924
37,35,21,1067,0.000178831,0.00293985,1,1.2862,23.4085
38,35,21,1071,0.000179308,0.00359159,1,1.04015,23.1624
39,36,21,1097,5.59523e-06,0.000124521,1,0.665943,22.8583
40,36,21,1099,1.46137e-05,0.000208372,1,1.24632,23.4387
41,38,22,1199,1.11307e-06,9.12171e-06,1,1.09837,24.2608
42,38,22,1205,4.32925e-07,2.53524e-06,1,1.17159,24.334
43,37,22,1210,4.3384e-07,2.91387e-06,1,0.980034,24.3885
44,37,22,1215,7.19857e-07,4.55334e-06,1,1.32311,24.7316
